Dst Port,Flow Duration,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,PSH Flag Cnt,Init Fwd Win Byts,Fwd Act Data Pkts
3389,1270037,11.0,172,152,6.0,5.0,1,8192,5
443,16053698,1.0,232,172,0.0,0.0,1,8192,5
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
57936,33,60606.0,40,0,60606.0,0.0,0,260,0
53,14695,136.0,8,8,68.0,68.0,0,-1,0
443,88113985,0.0,352,428,0.0,0.0,1,8192,11
53,2244,891.0,8,8,445.0,445.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
80,49824355,0.0,172,240,0.0,0.0,1,8192,5
80,87,22988.0,40,0,22988.0,0.0,0,278,0
58700,46,43478.0,40,0,43478.0,0.0,0,256,0
22,376268,119.0,744,712,61.0,58.0,1,26883,16
3389,1798557,8.0,172,152,4.0,3.0,1,8192,5
52591,82,48780.0,60,20,36585.0,12195.0,0,62,1
67,585,3418.0,8,8,1709.0,1709.0,0,-1,0
53,2430,823.0,8,8,411.0,411.0,0,-1,0
21,4,500000.0,40,20,250000.0,250000.0,1,26883,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
50111,1,2000000.0,40,0,2000000.0,0.0,0,6064,0
53,34297,116.0,16,16,58.0,58.0,0,-1,1
49235,153,13071.0,40,0,13071.0,0.0,0,255,0
53,1267,1578.0,8,8,789.0,789.0,0,-1,0
80,6063747,1.0,92,92,0.0,0.0,1,8192,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,365656,120.0,712,712,60.0,60.0,1,26883,16
29827,88456877,0.0,40,0,0.0,0.0,0,64000,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
21,9,222222.0,40,20,111111.0,111111.0,1,26883,0
80,685,10218.0,72,92,4379.0,5839.0,1,8192,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
21,3,666666.0,40,20,333333.0,333333.0,1,26883,0
80,53578886,0.0,40,0,0.0,0.0,0,279,0
53,1543,1296.0,8,8,648.0,648.0,0,-1,0
80,54027211,0.0,40,0,0.0,0.0,0,279,0
52680,37,54054.0,40,0,54054.0,0.0,0,256,0
443,230,13043.0,60,0,13043.0,0.0,0,252,1
53,1346,1485.0,8,8,742.0,742.0,0,-1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
52124,44,45454.0,20,20,22727.0,22727.0,0,290,0
80,5966482,0.0,72,32,0.0,0.0,1,8192,0
53,1067,1874.0,8,8,937.0,937.0,0,-1,0
445,69222,57.0,72,32,43.0,14.0,1,8192,0
3389,1275993,11.0,168,148,6.0,5.0,1,8192,5
21,4,500000.0,40,20,250000.0,250000.0,1,26883,0
22,4,500000.0,32,32,250000.0,250000.0,0,241,0
22,363577,121.0,776,648,66.0,55.0,1,26883,16
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
53,1919,1042.0,8,8,521.0,521.0,0,-1,0
3389,2189156,6.0,172,152,3.0,3.0,1,64240,5
80,96,20833.0,40,0,20833.0,0.0,0,279,0
53,421,4750.0,8,8,2375.0,2375.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
53,568,3521.0,8,8,1760.0,1760.0,0,-1,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
21,18,111111.0,40,20,55555.0,55555.0,1,26883,0
80,86,23255.0,40,0,23255.0,0.0,0,278,0
80,53931599,0.0,40,0,0.0,0.0,0,279,0
443,10177465,1.0,152,184,0.0,0.0,1,8192,3
53,35554,112.0,16,16,56.0,56.0,0,-1,1
443,551,5444.0,20,40,1814.0,3629.0,0,0,0
80,54900550,0.0,40,0,0.0,0.0,0,279,0
445,205834,9.0,52,0,9.0,0.0,0,251,0
53,1932,1035.0,8,8,517.0,517.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,382840,109.0,712,648,57.0,52.0,1,26883,16
53,317,6309.0,8,8,3154.0,3154.0,0,-1,0
443,116019812,0.0,432,428,0.0,0.0,1,8192,15
51764,44,45454.0,20,20,22727.0,22727.0,0,172,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
443,118167067,0.0,232,212,0.0,0.0,1,8192,6
80,53939380,0.0,40,0,0.0,0.0,0,279,0
53,359,5571.0,8,8,2785.0,2785.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
53,84173,47.0,16,16,23.0,23.0,0,-1,1
445,21044034,0.0,32,112,0.0,0.0,1,8192,0
50504,93,43010.0,60,20,32258.0,10752.0,0,1071,1
53,1060,1886.0,8,8,943.0,943.0,0,-1,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
3389,2891378,6.0,192,204,3.0,3.0,1,8192,6
21,4,500000.0,40,20,250000.0,250000.0,1,26883,0
53,286,6993.0,8,8,3496.0,3496.0,0,-1,0
80,77,25974.0,40,0,25974.0,0.0,0,278,0
53,198261,20.0,16,16,10.0,10.0,0,-1,1
53,1061,1885.0,8,8,942.0,942.0,0,-1,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
443,934,3211.0,60,0,3211.0,0.0,0,254,1
445,1349474,11.0,232,112,8.0,3.0,1,8192,4
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
3389,1902729,8.0,192,152,4.0,3.0,1,8192,5
53,1744,1146.0,8,8,573.0,573.0,0,-1,0
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,377469,116.0,712,712,58.0,58.0,1,26883,16
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,406352,108.0,712,712,54.0,54.0,1,26883,16
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
80,85,23529.0,40,0,23529.0,0.0,0,278,0
22,354383,121.0,680,712,59.0,62.0,1,26883,16
443,58377,291.0,192,172,154.0,137.0,1,8192,4
80,851,8225.0,72,92,3525.0,4700.0,1,8192,1
443,868,3456.0,60,0,3456.0,0.0,0,3450,1
22,373152,115.0,744,648,61.0,53.0,1,26883,16
80,84,23809.0,40,0,23809.0,0.0,0,278,0
21,24,83333.0,40,20,41666.0,41666.0,1,26883,0
22,8,250000.0,32,32,125000.0,125000.0,0,241,0
80,10130725,0.0,112,104,0.0,0.0,1,8192,2
53,261,7662.0,8,8,3831.0,3831.0,0,-1,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
53,213,9389.0,8,8,4694.0,4694.0,0,-1,0
3389,2919161,5.0,172,152,2.0,2.0,1,64240,5
22,379769,115.0,712,712,57.0,57.0,1,26883,16
22,11,181818.0,32,32,90909.0,90909.0,0,241,0
22,399049,110.0,712,712,55.0,55.0,1,26883,16
3389,5505369,3.0,212,152,1.0,1.0,1,8192,5
53,22173,90.0,8,8,45.0,45.0,0,-1,0
138,32104552,0.0,16,0,0.0,0.0,0,-1,1
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
22,385542,114.0,776,648,62.0,51.0,1,26883,16
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
443,117579822,0.0,332,352,0.0,0.0,1,8192,8
53,1223,1635.0,8,8,817.0,817.0,0,-1,0
53,130745,30.0,16,16,15.0,15.0,0,-1,1
22,310857,135.0,712,648,70.0,64.0,1,26883,16
53,1122,1782.0,8,8,891.0,891.0,0,-1,0
53,146121,13.0,8,8,6.0,6.0,0,-1,0
443,5851444,5.0,192,532,1.0,4.0,1,8192,4
50076,1,2000000.0,40,0,2000000.0,0.0,0,180,0
53,22347,178.0,16,16,89.0,89.0,0,-1,1
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
443,35428021,0.0,120,128,0.0,0.0,0,256,4
3389,3529096,5.0,192,204,2.0,2.0,1,8192,6
53,18312,109.0,8,8,54.0,54.0,0,-1,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
80,115134963,0.0,332,424,0.0,0.0,1,8192,12
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
80,53960388,0.0,40,0,0.0,0.0,0,279,0
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
50301,1,2000000.0,40,0,2000000.0,0.0,0,176,0
443,117718125,1.0,1372,2392,0.0,1.0,1,8192,22
443,7909185,1.0,192,132,1.0,0.0,1,8192,3
53,60723,65.0,16,16,32.0,32.0,0,-1,1
53,2576,776.0,8,8,388.0,388.0,0,-1,0
53,222,9009.0,8,8,4504.0,4504.0,0,-1,0
51193,4975154,0.0,40,0,0.0,0.0,0,30016,0
80,5740835,1.0,92,92,0.0,0.0,1,8192,1
21,21,95238.0,40,20,47619.0,47619.0,1,26883,0
22,376239,116.0,712,712,58.0,58.0,1,26883,16
22,7,285714.0,32,32,142857.0,142857.0,0,241,0
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
3304,48,41666.0,40,0,41666.0,0.0,0,260,0
3389,2485950,6.0,172,152,3.0,2.0,1,8192,5
53,59750,66.0,16,16,33.0,33.0,0,-1,1
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,372557,118.0,712,712,59.0,59.0,1,26883,16
22,316499,139.0,712,712,69.0,69.0,1,26883,16
21,19,105263.0,40,20,52631.0,52631.0,1,26883,0
3389,2977274,5.0,172,152,2.0,2.0,1,64240,5
22,370966,118.0,776,648,64.0,53.0,1,26883,16
53,108495,36.0,16,16,18.0,18.0,0,-1,1
80,5494737,1.0,92,92,0.0,0.0,1,8192,1
3389,2175397,6.0,172,152,3.0,3.0,1,8192,5
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
21,3,666666.0,40,20,333333.0,333333.0,1,26883,0
53,12955,154.0,8,8,77.0,77.0,0,-1,0
3389,6411104,2.0,212,152,1.0,1.0,1,8192,5
22,383036,125.0,840,712,67.0,57.0,1,26883,16
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
51070,999424,2.0,40,0,2.0,0.0,0,5352,0
53,267,7490.0,8,8,3745.0,3745.0,0,-1,0
22,364969,120.0,712,712,60.0,60.0,1,26883,16
51187,17,117647.0,20,20,58823.0,58823.0,0,288,0
3389,3080522,6.0,212,256,3.0,3.0,1,8192,7
21,2,1000000.0,40,20,500000.0,500000.0,1,26883,0
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
3389,2314599,6.0,172,152,3.0,3.0,1,8192,5
80,5549295,1.0,92,92,0.0,0.0,1,8192,1
22,6,333333.0,32,32,166666.0,166666.0,0,241,0
22,344571,121.0,712,648,63.0,58.0,1,26883,16
58433,158,12658.0,40,0,12658.0,0.0,0,259,0
21,18,111111.0,40,20,55555.0,55555.0,1,26883,0
3389,1241706,12.0,172,152,6.0,5.0,1,8192,5
80,2596,2696.0,72,92,1155.0,1540.0,1,8192,1
3389,1445122,10.0,172,152,5.0,4.0,1,8192,5
21,1,2000000.0,40,20,1000000.0,1000000.0,1,26883,0
80,191,10471.0,40,0,10471.0,0.0,0,253,0
445,263919,15.0,72,32,11.0,3.0,1,8192,0
