Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,14/02/2018 12:41:31,116087899,21,19,750,5575,381,0,35.7142857143,93.7081335089,1460,0,293.4210526316,561.9799636394,54.4845763812,0.3445664909,2976612.79487179,4555335.06631986,10005066,1,116087899,5804394.95,4933505.4755496,10015341,37,110243688,6124649.33333333,5019092.14736778,10019942,1,0,0,0,0,432,524,0.1808974077,0.1636690832,0,1460,154.2682926829,404.5760759357,163681.801219512,0,0,0,1,0,0,0,0,0,158.125,35.7142857143,293.4210526316,0,0,0,0,0,0,21,750,19,5575,8192,123,15,20,20977.8333333333,37055.3389205274,138644,10179,9653010.66666667,1202897.39536235,10005066,5833596,Benign
21,6,14/02/2018 11:13:32,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
3389,6,14/02/2018 02:34:56,1206036,8,7,1148,1581,677,0,143.5,228.129662379,1173,0,225.8571428571,430.0986044197,2262.7848588268,12.4374396784,86145.4285714285,250264.936355828,953175,97,1206036,172290.857142857,384051.158851452,1042780,137,1177599,196266.5,371538.759263552,953175,30552,0,0,0,0,172,152,6.6333011618,5.8041385166,0,1173,170.5625,319.433241591,102037.595833333,0,0,1,1,0,0,0,1,0,181.9333333333,143.5,225.8571428571,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,17,14/02/2018 03:56:36,1273,1,1,32,76,32,32,32.0,0.0,76,76,76.0,0.0,84838.9630793401,1571.0919088767,1273.0,0.0,1273,1273,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,785.5459544383,785.5459544383,32,76,46.6666666667,25.4034118443,645.3333333333,0,0,0,0,0,0,0,0,1,70.0,32.0,76.0,0,0,0,0,0,0,1,32,1,76,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
21,6,14/02/2018 11:01:12,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
21,6,14/02/2018 11:41:11,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
443,6,14/02/2018 09:33:27,131855,8,7,1087,3573,501,0,135.875,192.5612611241,1460,0,510.4285714286,634.8272355906,35341.8527928406,113.7613287323,9418.2142857143,14247.6266967173,31176,14,131855,18836.4285714286,17358.8919947592,34433,27,98718,16453.0,16524.1727296709,31662,25,0,0,0,0,172,148,60.6727086572,53.0886200751,0,1460,291.25,468.4602437774,219455.0,0,0,0,1,0,0,0,0,0,310.6666666667,135.875,510.4285714286,0,0,0,0,0,0,8,1087,7,3573,8192,5414,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,14/02/2018 08:56:02,77787270,12,10,455,1009,448,0,37.9166666667,129.143653864,1009,0,100.9,319.073815911,18.8205602279,0.2828226264,3704155.71428571,4846569.56779582,10031091,50,77787270,7071570.0,4584826.08070001,10031124,219,70309296,7812144.0,4424041.0214312,10104817,294,0,0,0,0,252,296,0.1542668871,0.1285557393,0,1009,63.652173913,226.1943268913,51163.8735177866,0,0,0,1,0,0,0,0,0,66.5454545455,37.9166666667,100.9,0,0,0,0,0,0,12,455,10,1009,8192,946,8,20,26757.0,26220.0057807556,91648,17400,9696651.75,903527.761139753,10031091,7460586,Benign
21,6,14/02/2018 10:59:09,2,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce
53,17,14/02/2018 09:13:34,25471,1,1,49,164,49,49,49.0,0.0,164,164,164.0,0.0,8362.4514153351,78.5206705665,25471.0,0.0,25471,25471,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,39.2603352833,39.2603352833,49,164,87.3333333333,66.3952809568,4408.3333333333,0,0,0,0,0,0,0,0,1,131.0,49.0,164.0,0,0,0,0,0,0,1,49,1,164,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
