Dst Port,Flow Duration,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Subflow Fwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Label
443,116087899,0.3445664909,432,524,0.1808974077,0.1636690832,750,8192,123,15,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
3389,1206036,12.4374396784,172,152,6.6333011618,5.8041385166,1148,8192,62852,5,0
53,1273,1571.0919088767,8,8,785.5459544383,785.5459544383,32,-1,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
443,131855,113.7613287323,172,148,60.6727086572,53.0886200751,1087,8192,5414,4,0
80,77787270,0.2828226264,252,296,0.1542668871,0.1285557393,455,8192,946,8,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,25471,78.5206705665,8,8,39.2603352833,39.2603352833,49,-1,-1,0,0
53,945,2116.4021164021,8,8,1058.2010582011,1058.2010582011,41,-1,-1,0,0
443,102556893,0.3315233039,352,348,0.1657616519,0.1657616519,1225,8192,0,12,0
3389,1464488,10.9253199753,192,152,6.1454924861,4.7798274892,1132,8192,62868,5,0
53,259,7722.0077220077,8,8,3861.0038610039,3861.0038610039,44,-1,-1,0,0
53,1222,1636.6612111293,8,8,818.3306055646,818.3306055646,33,-1,-1,0,0
21,20,100000.0,40,20,50000.0,50000.0,0,26883,0,0,1
445,851749,12.9146027762,132,112,7.044328787,5.8702739892,455,8192,0,4,0
445,790461,5.0603382077,64,40,2.5301691039,2.5301691039,0,8192,0,0,0
3389,1692872,8.860681729,172,152,4.7256969222,4.1349848069,1128,8192,62872,5,0
80,899,7786.4293659622,72,92,3337.0411568409,4449.3882091213,148,8192,149,1,0
53,298,6711.4093959732,8,8,3355.7046979866,3355.7046979866,51,-1,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
80,66,30303.0303030303,40,0,30303.0303030303,0.0,0,278,-1,0,0
50221,49,40816.3265306122,20,20,20408.1632653061,20408.1632653061,0,172,255,0,0
22,5,400000.0,32,32,200000.0,200000.0,0,241,230,0,2
53,1080,1851.8518518519,8,8,925.9259259259,925.9259259259,46,-1,-1,0,0
443,114966809,0.3653228298,452,544,0.1913595775,0.1739632523,1735,8192,1034,15,0
22,309751,138.8211821754,680,712,67.7963912949,71.0247908804,1944,26883,230,16,2
445,292064,13.6956283554,68,28,10.2717212666,3.4239070889,0,8192,8192,0,0
53,2771,721.7610970769,8,8,360.8805485384,360.8805485384,51,-1,-1,0,0
21,18,111111.111111111,40,20,55555.5555555556,55555.5555555556,0,26883,0,0,1
53,1456,1373.6263736264,8,8,686.8131868132,686.8131868132,42,-1,-1,0,0
443,24267567,0.9065597717,232,224,0.4532798859,0.4532798859,858,8192,30837,5,0
80,117485023,0.3319572062,452,484,0.1872579112,0.144699295,2227,8192,186,15,0
443,159,18867.9245283019,60,0,18867.9245283019,0.0,31,258,-1,1,0
80,53883026,0.0371174403,40,0,0.0371174403,0.0,0,279,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
53,265,7547.1698113208,8,8,3773.5849056604,3773.5849056604,35,-1,-1,0,0
53,327,6116.2079510703,8,8,3058.1039755352,3058.1039755352,44,-1,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,396026,111.1038164161,776,648,60.6020816815,50.5017347346,1960,26883,230,16,2
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
445,882680,13.5949608012,152,112,7.9303938007,5.6645670005,364,8192,258,4,0
53,1091,1833.180568286,8,8,916.590284143,916.590284143,44,-1,-1,0,0
22,332608,132.2878583798,712,712,66.1439291899,66.1439291899,1912,26883,230,16,2
53,904,2212.389380531,8,8,1106.1946902655,1106.1946902655,32,-1,-1,0,0
53,28913,69.1730363504,8,8,34.5865181752,34.5865181752,35,-1,-1,0,0
80,8603,232.477042892,40,0,232.477042892,0.0,0,254,-1,0,0
21,15,133333.333333333,40,20,66666.6666666667,66666.6666666667,0,26883,0,0,1
53,1208,1655.6291390729,8,8,827.8145695364,827.8145695364,43,-1,-1,0,0
53,12959,154.3328960568,8,8,77.1664480284,77.1664480284,35,-1,-1,0,0
80,88,22727.2727272727,40,0,22727.2727272727,0.0,0,279,-1,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,416,4807.6923076923,8,8,2403.8461538462,2403.8461538462,43,-1,-1,0,0
22,6,333333.333333333,32,32,166666.666666667,166666.666666667,0,241,230,0,2
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
80,90,22222.2222222222,40,0,22222.2222222222,0.0,0,278,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
443,118073589,0.2710174246,332,332,0.1355087123,0.1355087123,1011,8192,180,8,0
21,18,111111.111111111,40,20,55555.5555555556,55555.5555555556,0,26883,0,0,1
50261,40,50000.0,20,20,25000.0,25000.0,0,180,254,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
53,291,6872.852233677,8,8,3436.4261168385,3436.4261168385,35,-1,-1,0,0
22,373858,117.6917439242,712,712,58.8458719621,58.8458719621,2008,26883,230,16,2
443,80745,49.5386711251,40,40,24.7693355626,24.7693355626,1,63832,64240,0,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
80,86,23255.8139534884,40,0,23255.8139534884,0.0,0,278,-1,0,0
22,7,285714.285714286,32,32,142857.142857143,142857.142857143,0,241,230,0,2
53,649,3081.6640986133,8,8,1540.8320493066,1540.8320493066,40,-1,-1,0,0
53,314,6369.4267515924,8,8,3184.7133757962,3184.7133757962,44,-1,-1,0,0
53,356,5617.9775280899,8,8,2808.988764045,2808.988764045,46,-1,-1,0,0
53,206,9708.7378640777,8,8,4854.3689320388,4854.3689320388,35,-1,-1,0,0
53,2387,837.8718056137,8,8,418.9359028069,418.9359028069,51,-1,-1,0,0
445,3241844,1.2338656641,52,64,0.6169328321,0.6169328321,0,8192,8192,0,0
3389,1889924,8.4659488953,192,152,4.7620962536,3.7038526417,1283,8192,62728,6,0
22,371396,118.4719275383,712,712,59.2359637691,59.2359637691,1928,26883,230,16,2
22,338604,129.9453048399,744,680,67.9259548027,62.0193500372,1912,26883,230,16,2
22,386004,113.9884560782,712,712,56.9942280391,56.9942280391,1912,26883,230,16,2
22,411258,104.5572365766,712,680,53.4944001089,51.0628364676,1944,26883,230,16,2
80,55150258,0.3445133475,192,272,0.163190533,0.1813228145,436,8192,946,6,0
22,295161,149.0711848788,712,712,74.5355924394,74.5355924394,1960,26883,230,16,2
21,19,105263.157894737,40,20,52631.5789473684,52631.5789473684,0,26883,0,0,1
53,70445,56.7818865782,16,16,28.3909432891,28.3909432891,64,-1,-1,1,0
53,58637,68.2163139315,16,16,34.1081569657,34.1081569657,130,-1,-1,1,0
50555,43,69767.4418604651,40,20,46511.6279069767,23255.8139534884,31,270,0,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
53,14168,141.1631846414,8,8,70.5815923207,70.5815923207,30,-1,-1,0,0
443,116173686,0.3787432552,492,544,0.2065872301,0.1721560251,2112,8192,513,17,0
80,833,8403.3613445378,72,92,3601.4405762305,4801.9207683073,161,8192,149,1,0
54650,31,64516.1290322581,40,0,64516.1290322581,0.0,0,256,-1,0,0
53,3410,586.5102639296,8,8,293.2551319648,293.2551319648,42,-1,-1,0,0
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
22,404170,108.8650815251,712,712,54.4325407626,54.4325407626,1960,26883,230,16,2
21,2,1000000.0,40,20,500000.0,500000.0,0,26883,0,0,1
3389,7926618,2.2708297536,232,152,1.3877292939,0.8831004597,1132,8192,62868,5,0
80,46959,149.0662066909,72,92,63.8855171533,85.1806895377,437,8192,31,1,0
21,1,2000000.0,40,20,1000000.0,1000000.0,0,26883,0,0,1
3389,1667604,8.994941245,172,152,4.7973019974,4.1976392477,1144,8192,62856,5,0
53,519,3853.5645472062,8,8,1926.7822736031,1926.7822736031,43,-1,-1,0,0
3389,2826286,5.6611397431,192,152,3.1843911055,2.4767486376,1138,8192,62862,5,0
80,5116846,1.5634631177,92,92,0.7817315589,0.7817315589,97,8192,141,1,0
22,22,90909.0909090909,32,32,45454.5454545455,45454.5454545455,0,241,230,0,2
443,60923448,0.4431791188,312,312,0.2462106216,0.1969684973,1020,8192,115,9,0
443,17131,175.1211254451,20,40,58.3737084817,116.7474169634,0,1020,1026,0,0
53,331,6042.2960725076,8,8,3021.1480362538,3021.1480362538,36,-1,-1,0,0
22,377437,116.575746416,712,712,58.287873208,58.287873208,1912,26883,230,16,2
